wallet,amount
0x923Ca709526c51f5656d70ea0d609B43C01Da63b,88000000000000000000
0x12fe0f6804d6ac5b4f581451856d4587F3974De9,7042819674000000000000
0xf175846de880d076204156997f30E2BA24247890,2048000000000000000000
0x72C8DecECf113A59c2cB7e64c5096b29C72bb378,1012195972000000000000
0x3085D4d0e2358be12BFF44e1310B2d6CA2778853,2083245000000000000000
0x3cE6a5AF98bAE8586e12b1c5268cEc8A5bA04942,1006897316000000000000
0x4723Aa09Dbf8d2C9A08446BeeB2DD46906f63567,16798570511000000000000
0xC6ab2AcAFB748F41B47EF45e28DfC28909Fe79b0,1002503379000000000000
0xcD2f37D60cE44F1f23eF1a8dcd1Fe664a8b9B2d2,1029767870000000000000
0xc070EDEB36CdA07920e42A477db3cee168eeb226,1009976785000000000000
0xA20B0713294016503fDdC5d4C57bdc1b377B2526,1000034236000000000000
0xD04C382490D4c2F03526169B7f3b053f86E8B2e2,10071008233000000000000
0x1725dac820bB76D56E2B06Fd867a2489de67536b,4000000919000000000000
0x478979f1A9B50622C511f4a67dB1e1575d895b12,16041022152000000000000
0x22A69346de4FC98B490171f8D53F3497e865f855,10000000000000000000000
0xC67535Ab55C2B6A07Bc01f173bb6A89F5CbB1648,3883489034000000000000
0xB3CE7D2B18E1267d39d924E37265Bf8fD99593B3,5035880000000000000000
0x7F8a9D71c36f89574120103Ca4b9483d40897827,15736000000000000000000
0x0432723543A39D93080Fdc6d17BAB540AA543d73,2373178122000000000000
0x9ab5797df55AC49e161b1defe250D8328e4EC2AA,2850000000000000000000
0x212F301AdBFdaDCa24284f02F07119b75ED79386,1068417113000000000000
0xE794c614F3b5f50CcCb784e71C22f57934083178,10020225229000000000000
0x010c3e12612aB10568a0F8447aE08ae4E90760b9,3000000000000000000000
0x3D8A11b4ff141514A656E1C9e9200cEC7080f956,3000000000000000000000
0x07C0AFDcd1dA45212D94b135A2c57492a03cA2a5,6510000000000000000000
0x22c42a8b5Abf2d69c2732693860078E61Ac3D241,10000000000000000000000
0xf6f68aEDCA0b93f0868398577F22bEe684908056,2039757194000000000000
0x83cB93C184cD8AA570B06fBfbA50DCAB208C4b9c,3569258114000000000000
0xD762d1008Ef4b822cc6Ad568F325A55A7a7D0222,8888000000000000000000
0xa2b4c41451943E4Aa8d668eb4643e587acE61209,2969463942000000000000
0x94a20E4719cDC59FD4475645B5E4e0b80cE39B12,5821327083000000000000
0x192E075DcFb6747fb01B1AE7632CDd80e8F6230C,1000006671000000000000
0xdd23777a5f010cAE46d82be842eA4CaDabCAc854,1001000000000000000000
0xAd7B07945eE9fC894f9AA4a66D942493F6d91F4F,5000000000000000000000
0x711d3254D6ba806ee13e8dee23399F7f772817Dc,1137500000000000000000
0xe4272bCa6DA323391aE38bbcdc9c864345541597,5001932599000000000000
0xBEE089cFa347E4FAF57c0b0F98aB81A6343b9bee,1100000000000000000000
0x9aFF5832D12D9062d6a948980046D91dB4151dFc,1310067564000000000000
0xEfe09Fe6d424494d4b8E652Af3726b24087C1F07,1000000000000000000000
0xB905483567702531F6715B7f9c8Cffff415109D3,4664000000000000000000
0xf00A8009431471a1Dbd6D831de5ce9607845e63e,1750000000000000000000
0x4Ef222a98Db264baf4d35346A7C5219D5229eC7c,1000000000000000000000
0xd8c397181Efd01Bf88cA369c27f82Bf804EB1017,1413927455000000000000
0x522673B669AC8efcAd6d22A9999E6C55Cc8ED9D6,1100000000000000000000
0xD7A3199685338DACf8A392bb794731cD564546BE,1000000000000000000000
0x85eA6619899218573F6dBF32594b871b495d0Af8,5000752815000000000000
0xd98961B2E6ef051B8A87E7ebEBF5181453aAD87c,1012536482000000000000
0x1aCA3b9729fb9fBD93a82575fFF7021f2242c0CD,60237770000000000000
0x008e80aa66b8cA8383bB37b6DF57ce3a56d0Fa65,11620612059000000000000
0x2Df7064AebC27419eBdf3977506799283ed12Bda,5000000000000000000000
0xE1450b4f6614950D9404739FEda7D094bdCEf23A,5000000000000000000000
0xAf0154429D0059bF116f1459914294a59aB1A79b,5051000000000000000000
0xda4DF6C488512051A0545aEad9CB032c4e3AAc0c,1386699502000000000000
0x1b3fFAF1f063a321c0a6e2BFB79cd0A64d6C5Aa5,1098081978000000000000
0x782c0364C6eDDA793245481D84Dcf505D26b3c22,6474766531000000000000
0xBCeb6a9A3FfAe9cc4695f40fA614dEe19Ed041eC,5000000000000000000000
0x45aFFb80CDADFE3b83431542B1e4d0C8e093d7C3,25131483620000000000000
0x01c63B23B32F7FD5fa10E9c90c5534042B889CC4,3000000000000000000000
0x58dA910a4525456459E4E0DDE1a4c86219B8e9D8,8000000000000000000000
0x988982c544Caf3c70760681E72B69CE1DF65eF24,2000003587000000000000
0x0448F1d25beDa35E199604E606F9A8BE87F22678,10000000000000000000000
0xFd25bFD8cbf9e63EDA32616ca2C47fB9c863f789,1250000000000000000000
0x6117A43aaAa6BcdC349291CE3D5bD89DBf45D467,3000000000000000000000
0x651FAE134C3cb05A89a7F76ABea88f5368b38139,1600341971000000000000
0xB4C5B8347a9E8Bcf779232141e14b288B7a3f914,1000000000000000000000
0x98249d11150f15d5712B7c5ed7E61C57A70bf775,61325858000000000000
0xc177BdC619281108F2fA28539E2CDb2e4D9b820c,2615817488000000000000
0xFA036493ED31a2DB81ceEbCd6eBbdE9650c98644,2890976202000000000000
0x7cB828A7B90FA88BE0C5Cb45bA4646D9BE0a28D9,30000000000000000000000
0x662b009fa2D6E78fC3ebBABc321FD5390961e8c2,19000000000000000000000
0x56e739b693Eb5597052e6788005efe249C49b970,1500000000000000000000
0xfe88C02c5B0A995dC953e6aE63d62f9cB0fb7F15,2626000000000000000000
0xeD890f53CD422C46fEa6d6a2d6f6bf0B9c71b1d3,1605010908000000000000
0x377c773039B35Da8d12bdC37192B936b4BC260f8,2000000000000000000000
0x21911951d52c91E0E641dE5067fE2DF5810Efd5F,448847903000000000000
0xc940Be4D7618A4A89C3F1B27B5dB93D451fF41B6,1000000000000000000000
0x1cd7072e69d8420A43e5c928562E8D56BfB03726,526328952000000000000
0x6F4aC3FA962C4eD4a0D3E53D54908D0011f36e0B,10000000000000000000000
0x3717A5A2f138757eF82be6819D3Bec11f8804045,4286553141000000000000
0x1cAD40D5c7302249f4cd76B8C6cdaB1d059AcfF1,52020200000000000000000
0x18049189c72c6a5aD0f6DED710448548a7111019,2000000000000000000000
0x262f48875eb1F7a75189b3B6c0d757d50976d0d0,7500006585000000000000
0x9ddeA6c0BfA53bdF244aDE7Ba5Ed7e227F6e58B4,55055060000000000000000
0x6718AA21D34f480d8A5639b15B9AEe7300651D69,3725925531000000000000
0xaA4A75d4fB43dC8FcA15931a069e196Fa4a05696,1000000000000000000000
0xD8873bb4557632F6e15747630b869007da4aff43,51509370311000000000000
0x322AD94758b86C2eeD2748c6606C7aAB1ea175C5,9676402794000000000000
0x1Ad661a1Feda108982C95c6adCe31e3B2417FC3b,58888850000000000000000
0x2Eb75f6b58a2b2D7aB53f1AF8D969B3014257a8a,66666600000000000000000
0x16F570e93fDbC3A4865b7740DEB052eE94d87E15,150000000000000000000000
0x1aD5F28a4775F8292eeDD3288fF760DD9E825D05,13333000000000000000000
